#run	isolate	library_name
SRR4005114	Angus4	Angus4_run1_lane1
SRR4005115	Angus4	Angus4_run1_lane2
SRR4005116	Angus4	Angus4_run1_lane3
SRR4005117	Angus4	Angus4_run1_lane4
SRR4005118	Angus4	Angus4_run2_lane1
SRR4005119	Angus4	Angus4_run2_lane2
SRR4005121	Angus4	Angus4_run2_lane3
SRR4005122	Angus4	Angus4_run2_lane4
SRR4005123	Angus4	Angus4_run3_lane1
SRR4005124	Angus4	Angus4_run3_lane2
SRR4005125	Angus4	Angus4_run3_lane3
SRR4005126	Angus4	Angus4_run3_lane4
ERR320251	Ankole4	Ankole4
SRR5507207	Bashan3	Bashan3
SRR4003236	Beefmaster2	Beefmaster2_run3_S2_L2
SRR4003237	Beefmaster2	Beefmaster2_run3_S2_L3
SRR4003238	Beefmaster2	Beefmaster2_run3_S2_L4
SRR4003239	Beefmaster2	Beefmaster2_run5_S2_L1
SRR4003240	Beefmaster2	Beefmaster2_run5_S2_L2
SRR4003241	Beefmaster2	Beefmaster2_run5_S2_L3
SRR4003242	Beefmaster2	Beefmaster2_run5_S2_L4
SRR4003244	Beefmaster2	Beefmaster2_run51_S3_L1
SRR4003245	Beefmaster2	Beefmaster2_run51_S3_L2
SRR4003246	Beefmaster2	Beefmaster2_run51_S3_L3
SRR4003247	Beefmaster2	Beefmaster2_run51_S3_L4
SRR4003248	Beefmaster2	Beefmaster2_run54_S3_L1
SRR4003249	Beefmaster2	Beefmaster2_run54_S3_L2
SRR4003250	Beefmaster2	Beefmaster2_run54_S3_L3
SRR4003251	Beefmaster2	Beefmaster2_run54_S3_L4
SRR7790708	BL3	BL3_run1_lane1
SRR4001687	Braunvieh1	Braunvieh1_run9_S8_L1
SRR4001689	Braunvieh1	Braunvieh1_run9_S8_L2
SRR4001690	Braunvieh1	Braunvieh1_run9_S8_L3
SRR4001691	Braunvieh1	Braunvieh1_run9_S8_L4
SRR4001692	Braunvieh1	Braunvieh1_run10_S7_L1
SRR4001693	Braunvieh1	Braunvieh1_run10_S7_L2
SRR4001694	Braunvieh1	Braunvieh1_run10_S7_L3
SRR4001695	Braunvieh1	Braunvieh1_run10_S7_L4
SRR4001696	Braunvieh1	Braunvieh1_run22_S17_L1
SRR4001697	Braunvieh1	Braunvieh1_run22_S17_L2
SRR4001698	Braunvieh1	Braunvieh1_run22_S17_L3
SRR4001700	Braunvieh1	Braunvieh1_run22_S17_L4
SRR4001701	Braunvieh1	Braunvieh1_run50_S12_L1
SRR4001702	Braunvieh1	Braunvieh1_run50_S12_L2
SRR4001703	Braunvieh1	Braunvieh1_run50_S12_L3
SRR4001704	Braunvieh1	Braunvieh1_run50_S12_L4
SRR4004691	Charolais2	Charolais2_run2_S8_L1
SRR4004693	Charolais2	Charolais2_run2_S8_L2
SRR4004694	Charolais2	Charolais2_run2_S8_L3
SRR4004695	Charolais2	Charolais2_run2_S8_L4
SRR4004696	Charolais2	Charolais2_run7_S7_L1
SRR4004697	Charolais2	Charolais2_run7_S7_L2
SRR4004698	Charolais2	Charolais2_run7_S7_L3
SRR4004699	Charolais2	Charolais2_run7_S7_L4
SRR4004700	Charolais2	Charolais2_run44_S7_L1
SRR4004701	Charolais2	Charolais2_run44_S7_L2
SRR4004702	Charolais2	Charolais2_run44_S7_L3
SRR4004704	Charolais2	Charolais2_run44_S7_L4
SRR4001750	Chianina2	Chianina2_run16_S1_L1
SRR4001751	Chianina2	Chianina2_run16_S1_L2
SRR4001752	Chianina2	Chianina2_run16_S1_L3
SRR4001753	Chianina2	Chianina2_run16_S1_L4
SRR4001754	Chianina2	Chianina2_run20_S1_L1
SRR4001756	Chianina2	Chianina2_run20_S1_L2
SRR4001757	Chianina2	Chianina2_run20_S1_L3
SRR4001758	Chianina2	Chianina2_run20_S1_L4
SRR4001759	Chianina2	Chianina2_run22_S8_L1
SRR4001760	Chianina2	Chianina2_run22_S8_L2
SRR4001761	Chianina2	Chianina2_run22_S8_L3
SRR4001762	Chianina2	Chianina2_run22_S8_L4
SRR4001763	Chianina2	Chianina2_run52_S5_L1
SRR4001764	Chianina2	Chianina2_run52_S5_L2
SRR4001765	Chianina2	Chianina2_run52_S5_L3
SRR4001767	Chianina2	Chianina2_run52_S5_L4
SRR4001768	Chianina2	Chianina2_run55_S3_L1
SRR4001769	Chianina2	Chianina2_run55_S3_L2
SRR4001770	Chianina2	Chianina2_run55_S3_L3
SRR4001771	Chianina2	Chianina2_run55_S3_L4
SRR4002051	Corriente4	Corriente4_run28_S7_L1
SRR4002053	Corriente4	Corriente4_run28_S7_L2
SRR4002054	Corriente4	Corriente4_run28_S7_L3
SRR4002055	Corriente4	Corriente4_run28_S7_L4
SRR4002056	Corriente4	Corriente4_run29_S6_L1
SRR4002057	Corriente4	Corriente4_run29_S6_L2
SRR4002058	Corriente4	Corriente4_run29_S6_L3
SRR4002059	Corriente4	Corriente4_run29_S6_L4
SRR4002060	Corriente4	Corriente4_run30_S6_L1
SRR4002061	Corriente4	Corriente4_run30_S6_L2
SRR4002062	Corriente4	Corriente4_run30_S6_L3
SRR4002064	Corriente4	Corriente4_run30_S6_L4
SRR4002065	Corriente4	Corriente4_run55_S11_L1
SRR4002066	Corriente4	Corriente4_run55_S11_L2
SRR4002067	Corriente4	Corriente4_run55_S11_L3
SRR4002068	Corriente4	Corriente4_run55_S11_L4
SRR4002069	Corriente4	Corriente4_run61_S2_L1
SRR4002070	Corriente4	Corriente4_run61_S2_L2
SRR4002071	Corriente4	Corriente4_run61_S2_L3
SRR4002072	Corriente4	Corriente4_run61_S2_L4
SRR4002073	Corriente4	Corriente4_run65_S2_L1
SRR4002075	Corriente4	Corriente4_run65_S2_L2
SRR4002076	Corriente4	Corriente4_run65_S2_L3
SRR4002077	Corriente4	Corriente4_run65_S2_L4
SRR4002078	Corriente4	Corriente4_run66_S3_L1
SRR4002079	Corriente4	Corriente4_run66_S3_L2
SRR4002080	Corriente4	Corriente4_run66_S3_L3
SRR4002081	Corriente4	Corriente4_run66_S3_L4
SRR4002082	Corriente4	Corriente4_run67_S3_L1
SRR4002083	Corriente4	Corriente4_run67_S3_L2
SRR4002084	Corriente4	Corriente4_run67_S3_L3
SRR4002086	Corriente4	Corriente4_run67_S3_L4
SRR1346378	Devon	Devon
SRR4003316	Gelbvieh4	Gelbvieh4_run21_S7_L1
SRR4003317	Gelbvieh4	Gelbvieh4_run21_S7_L2
SRR4003318	Gelbvieh4	Gelbvieh4_run21_S7_L3
SRR4003319	Gelbvieh4	Gelbvieh4_run21_S7_L4
SRR4003320	Gelbvieh4	Gelbvieh4_run23_S7_L1
SRR4003322	Gelbvieh4	Gelbvieh4_run23_S7_L2
SRR4003323	Gelbvieh4	Gelbvieh4_run23_S7_L3
SRR4003324	Gelbvieh4	Gelbvieh4_run23_S7_L4
SRR2016752	Gir1	Gir1
SRR934435	Hanwoo8	Hanwoo8
SRR4004922	Hereford6	Hereford6_run45_S5_L1
SRR4004923	Hereford6	Hereford6_run45_S5_L2
SRR4004924	Hereford6	Hereford6_run45_S5_L3
SRR4004925	Hereford6	Hereford6_run45_S5_L4
SRR4004926	Hereford6	Hereford6_run47_S4_L1
SRR4004927	Hereford6	Hereford6_run47_S4_L2
SRR4004929	Hereford6	Hereford6_run47_S4_L3
SRR4004930	Hereford6	Hereford6_run47_S4_L4
SRR4004931	Hereford6	Hereford6_run49_S4_L1
SRR4004932	Hereford6	Hereford6_run49_S4_L2
SRR4004933	Hereford6	Hereford6_run49_S4_L3
SRR4004934	Hereford6	Hereford6_run49_S4_L4
SRR4004935	Hereford6	Hereford6_run55_S13_L1
SRR4004936	Hereford6	Hereford6_run55_S13_L2
SRR4004937	Hereford6	Hereford6_run55_S13_L3
SRR4004938	Hereford6	Hereford6_run55_S13_L4
SRR4004940	Hereford6	Hereford6_run56_S4_L1
SRR4004941	Hereford6	Hereford6_run56_S4_L2
SRR4004942	Hereford6	Hereford6_run56_S4_L3
SRR4004943	Hereford6	Hereford6_run56_S4_L4
SRR4004944	Hereford6	Hereford6_run57_S6_L1
SRR4004945	Hereford6	Hereford6_run57_S6_L2
SRR4004946	Hereford6	Hereford6_run57_S6_L3
SRR4004947	Hereford6	Hereford6_run57_S6_L4
SRR1346386	Holstein	Holstein
SRR2016776	Jersey	Jersey
SRR5507279	Jian4	Jian4
SRR5507258	Kazakh3	Kazakh3
SRR4004895	Limousin2	Limousin2_run1_lane1
SRR4004896	Limousin2	Limousin2_run1_lane2
SRR4004897	Limousin2	Limousin2_run1_lane3
SRR4004898	Limousin2	Limousin2_run1_lane4
SRR4004899	Limousin2	Limousin2_run2_lane1
SRR4004900	Limousin2	Limousin2_run2_lane2
SRR4004901	Limousin2	Limousin2_run2_lane3
SRR4004902	Limousin2	Limousin2_run2_lane4
SRR4004903	Limousin2	Limousin2_run3_lane1
SRR4004904	Limousin2	Limousin2_run3_lane2
SRR4004906	Limousin2	Limousin2_run3_lane3
SRR4004907	Limousin2	Limousin2_run3_lane4
SRR5507242	Luxi1	Luxi1
SRR4001975	MaineAnjou4	MaineAnjou4_run9_S4_L1
SRR4001976	MaineAnjou4	MaineAnjou4_run9_S4_L2
SRR4001978	MaineAnjou4	MaineAnjou4_run9_S4_L3
SRR4001979	MaineAnjou4	MaineAnjou4_run9_S4_L4
SRR4001980	MaineAnjou4	MaineAnjou4_run10_S4_L1	
SRR4001981	MaineAnjou4	MaineAnjou4_run10_S4_L2	
SRR4001982	MaineAnjou4	MaineAnjou4_run10_S4_L3	
SRR4001983	MaineAnjou4	MaineAnjou4_run10_S4_L4	
SRR4001984	MaineAnjou4	MaineAnjou4_run46_S15_L1
SRR4001985	MaineAnjou4	MaineAnjou4_run46_S15_L2
SRR4001986	MaineAnjou4	MaineAnjou4_run46_S15_L3
SRR4001987	MaineAnjou4	MaineAnjou4_run46_S15_L4
SRR4001989	MaineAnjou4	MaineAnjou4_run50_S11_L1
SRR4001990	MaineAnjou4	MaineAnjou4_run50_S11_L2
SRR4001991	MaineAnjou4	MaineAnjou4_run50_S11_L3
SRR4001992	MaineAnjou4	MaineAnjou4_run50_S11_L4
DRR001771	Mishima1	Mishima_R1
DRR001778	Mishima1	Mishima_R2
DRR001781	Mishima1	Mishima_R3
SRR5507264	Mongolian4	Mongolian4
SRR2016762	Nelore4	Nelore4
ERR320263	Nganda	Nganda
ERR320256	Nsongora	Nsongora
SRR4004994	RedAngus2	RedAngus2_run2_S4_L1
SRR4005021	RedAngus2	RedAngus2_run2_S4_L2
SRR4005057	RedAngus2	RedAngus2_run2_S4_L3
SRR4005076	RedAngus2	RedAngus2_run2_S4_L4
SRR4005087	RedAngus2	RedAngus2_run7_S3_L1
SRR4005098	RedAngus2	RedAngus2_run7_S3_L2
SRR4005109	RedAngus2	RedAngus2_run7_S3_L3
SRR4005120	RedAngus2	RedAngus2_run7_S3_L4
SRR4005131	RedAngus2	RedAngus2_run22_S1_L1
SRR4005140	RedAngus2	RedAngus2_run22_S1_L2
SRR4005142	RedAngus2	RedAngus2_run22_S1_L3
SRR4005143	RedAngus2	RedAngus2_run22_S1_L4
SRR4005144	RedAngus2	RedAngus2_run52_S1_L1
SRR4005145	RedAngus2	RedAngus2_run52_S1_L2
SRR4005146	RedAngus2	RedAngus2_run52_S1_L3
SRR4005147	RedAngus2	RedAngus2_run52_S1_L4
SRR4005148	RedAngus2	RedAngus2_run56_S1_L1
SRR4005149	RedAngus2	RedAngus2_run56_S1_L2
SRR4005150	RedAngus2	RedAngus2_run56_S1_L3
SRR4005151	RedAngus2	RedAngus2_run56_S1_L4
SRR4005153	RedAngus2	RedAngus2_run64_S1_L1
SRR4005154	RedAngus2	RedAngus2_run64_S1_L2
SRR4005155	RedAngus2	RedAngus2_run64_S1_L3
SRR4005156	RedAngus2	RedAngus2_run64_S1_L4
SRR4005157	RedAngus2	RedAngus2_run68_S2_L1
SRR4005158	RedAngus2	RedAngus2_run68_S2_L2
SRR4005159	RedAngus2	RedAngus2_run68_S2_L3
SRR4005160	RedAngus2	RedAngus2_run68_S2_L4
SRR4003084	Salers1	Salers1_run2_S6_L1
SRR4003085	Salers1	Salers1_run2_S6_L2
SRR4003087	Salers1	Salers1_run2_S6_L3
SRR4003088	Salers1	Salers1_run2_S6_L4
SRR4003090	Salers1	Salers1_run7_S5_L1
SRR4003091	Salers1	Salers1_run7_S5_L2
SRR4003092	Salers1	Salers1_run7_S5_L3
SRR4003093	Salers1	Salers1_run7_S5_L4
SRR4003094	Salers1	Salers1_run22_S2_L1
SRR4003096	Salers1	Salers1_run22_S2_L2
SRR4003097	Salers1	Salers1_run22_S2_L3
