#accession	name	macs2_control
placeholder	MDBK_UT_IgG_R1_s1.fastq.gz	NA
placeholder	MDBK_UT_IgG_R2_s1.fastq.gz	NA
placeholder	MDBK_IFNG_2h_IgG_R1_s1.fastq.gz	NA
placeholder	MDBK_IFNG_2h_IgG_R2_s1.fastq.gz	NA
placeholder	MDBK_UT_H3K27ac_R1_s1.fastq.gz	UT_IgG
placeholder	MDBK_UT_H3K27ac_R1_s2.fastq.gz	UT_IgG
placeholder	MDBK_UT_H3K27ac_R2_s1.fastq.gz	UT_IgG
placeholder	MDBK_UT_H3K27ac_R2_s2.fastq.gz	UT_IgG
placeholder	MDBK_IFNG_2h_H3K27ac_R1_s1.fastq.gz	IFNG_2h_IgG
placeholder	MDBK_IFNG_2h_H3K27ac_R1_s2.fastq.gz	IFNG_2h_IgG
placeholder	MDBK_IFNG_2h_H3K27ac_R2_s1.fastq.gz	IFNG_2h_IgG
placeholder	MDBK_UT_POL2RA_R1_s1.fastq.gz	UT_IgG
placeholder	MDBK_UT_POL2RA_R1_s2.fastq.gz	UT_IgG
placeholder	MDBK_UT_POL2RA_R2_s1.fastq.gz	UT_IgG
placeholder	MDBK_UT_POL2RA_R2_s2.fastq.gz	UT_IgG
placeholder	MDBK_IFNG_2h_POL2RA_R1_s1.fastq.gz	IFNG_2h_IgG
placeholder	MDBK_IFNG_2h_POL2RA_R1_s2.fastq.gz	IFNG_2h_IgG
placeholder	MDBK_IFNG_2h_POL2RA_R2_s1.fastq.gz	IFNG_2h_IgG
placeholder	MDBK_IFNG_2h_POL2RA_R2_s2.fastq.gz	IFNG_2h_IgG
placeholder	MDBK_UT_STAT1_R1_s1.fastq.gz	UT_IgG
placeholder	MDBK_UT_STAT1_R1_s2.fastq.gz	UT_IgG
placeholder	MDBK_UT_STAT1_R2_s1.fastq.gz	UT_IgG
placeholder	MDBK_UT_STAT1_R2_s2.fastq.gz	UT_IgG
placeholder	MDBK_IFNG_2h_STAT1_R1_s1.fastq.gz	IFNG_2h_IgG
placeholder	MDBK_IFNG_2h_STAT1_R1_s2.fastq.gz	IFNG_2h_IgG
placeholder	MDBK_IFNG_2h_STAT1_R2_s1.fastq.gz	IFNG_2h_IgG
placeholder	MDBK_IFNG_2h_STAT1_R2_s2.fastq.gz	IFNG_2h_IgG
placeholder	MDBK_UT_pSTAT1_R1_s1.fastq.gz	UT_IgG
placeholder	MDBK_UT_pSTAT1_R1_s2.fastq.gz	UT_IgG
placeholder	MDBK_UT_pSTAT1_R2_s1.fastq.gz	UT_IgG
placeholder	MDBK_UT_pSTAT1_R2_s2.fastq.gz	UT_IgG
placeholder	MDBK_IFNG_2h_pSTAT1_R1_s1.fastq.gz	IFNG_2h_IgG
placeholder	MDBK_IFNG_2h_pSTAT1_R1_s2.fastq.gz	IFNG_2h_IgG
placeholder	MDBK_IFNG_2h_pSTAT1_R2_s1.fastq.gz	IFNG_2h_IgG
placeholder	MDBK_IFNG_2h_pSTAT1_R2_s2.fastq.gz	IFNG_2h_IgG
