#accession	name
placeholder	MDBK_Cas12_ctrl_BSA_R1
placeholder	MDBK_Cas12_ctrl_BSA_R2
placeholder	MDBK_Cas12_ctrl_IFNG_4h_R1
placeholder	MDBK_Cas12_ctrl_IFNG_4h_R2
placeholder	MDBK_Cas12_MER41_IFNAR2_KO1_BSA_R1
placeholder	MDBK_Cas12_MER41_IFNAR2_KO1_BSA_R2
placeholder	MDBK_Cas12_MER41_IFNAR2_KO1_IFNG_4h_R1
placeholder	MDBK_Cas12_MER41_IFNAR2_KO1_IFNG_4h_R2
placeholder	MDBK_Cas12_MER41_IFNAR2_KO2_BSA_R1
placeholder	MDBK_Cas12_MER41_IFNAR2_KO2_BSA_R2
placeholder	MDBK_Cas12_MER41_IFNAR2_KO2_IFNG_4h_R1
placeholder	MDBK_Cas12_MER41_IFNAR2_KO2_IFNG_4h_R2
placeholder	MDBK_Cas12_MER41_IFNAR2_KO3_BSA_R1
placeholder	MDBK_Cas12_MER41_IFNAR2_KO3_BSA_R2
placeholder	MDBK_Cas12_MER41_IFNAR2_KO3_IFNG_4h_R1
placeholder	MDBK_Cas12_MER41_IFNAR2_KO3_IFNG_4h_R2
placeholder	MDBK_Cas12_MER41_IL2RB_KO1_UT_R1
placeholder	MDBK_Cas12_MER41_IL2RB_KO1_IFNG_4h_R1
placeholder	MDBK_Cas12_MER41_IL2RB_KO2_UT_R1
placeholder	MDBK_Cas12_MER41_IL2RB_KO2_IFNG_4h_R1
placeholder	MDBK_Cas12_MER41_IL2RB_KO3_UT_R1
placeholder	MDBK_Cas12_MER41_IL2RB_KO3_IFNG_4h_R1
